Region,State,Date,Confirmed
South,RS,2020-03-23,96
South,RS,2020-03-24,112
South,RS,2020-03-25,162
South,SC,2020-02-25,0
South,SC,2020-02-26,0
South,SC,2020-02-27,0
South,SC,2020-02-28,0
South,SC,2020-02-29,0
South,SC,2020-03-01,0
South,SC,2020-03-02,0
South,SC,2020-03-03,0
South,SC,2020-03-04,0
South,SC,2020-03-05,0
South,SC,2020-03-06,0
South,SC,2020-03-07,0
South,SC,2020-03-08,0
South,SC,2020-03-09,0
South,SC,2020-03-10,0
South,SC,2020-03-11,0
South,SC,2020-03-12,2
South,SC,2020-03-13,3
South,SC,2020-03-14,5
South,SC,2020-03-15,6
South,SC,2020-03-16,7
South,SC,2020-03-17,7
South,SC,2020-03-18,14
South,SC,2020-03-19,21
South,SC,2020-03-20,40
South,SC,2020-03-21,57
South,SC,2020-03-22,68
South,SC,2020-03-23,86
South,SC,2020-03-24,109
South,SC,2020-03-25,122
Northeast,SE,2020-02-25,0
Northeast,SE,2020-02-26,0
Northeast,SE,2020-02-27,0
Northeast,SE,2020-02-28,0
Northeast,SE,2020-02-29,0
Northeast,SE,2020-03-01,0
Northeast,SE,2020-03-02,0
Northeast,SE,2020-03-03,0
Northeast,SE,2020-03-04,0
Northeast,SE,2020-03-05,0
Northeast,SE,2020-03-06,0
Northeast,SE,2020-03-07,0
Northeast,SE,2020-03-08,0
Northeast,SE,2020-03-09,0
Northeast,SE,2020-03-10,0
Northeast,SE,2020-03-11,0
Northeast,SE,2020-03-12,0
Northeast,SE,2020-03-13,0
Northeast,SE,2020-03-14,1
Northeast,SE,2020-03-15,1
Northeast,SE,2020-03-16,5
Northeast,SE,2020-03-17,5
Northeast,SE,2020-03-18,6
Northeast,SE,2020-03-19,6
Northeast,SE,2020-03-20,7
Northeast,SE,2020-03-21,10
Northeast,SE,2020-03-22,0
Northeast,SE,2020-03-23,0
Northeast,SE,2020-03-24,15
Northeast,SE,2020-03-25,16
Southeast,SP,2020-02-25,0
Southeast,SP,2020-02-26,1
Southeast,SP,2020-02-27,1
Southeast,SP,2020-02-28,1
Southeast,SP,2020-02-29,2
Southeast,SP,2020-03-01,2
Southeast,SP,2020-03-02,2
Southeast,SP,2020-03-03,2
Southeast,SP,2020-03-04,3
Southeast,SP,2020-03-05,6
Southeast,SP,2020-03-06,10
Southeast,SP,2020-03-07,13
Southeast,SP,2020-03-08,16
Southeast,SP,2020-03-09,16
Southeast,SP,2020-03-10,19
Southeast,SP,2020-03-11,30
Southeast,SP,2020-03-12,46
Southeast,SP,2020-03-13,56
Southeast,SP,2020-03-14,65
Southeast,SP,2020-03-15,136
Southeast,SP,2020-03-16,152
Southeast,SP,2020-03-17,164
Southeast,SP,2020-03-18,240
Southeast,SP,2020-03-19,286
Southeast,SP,2020-03-20,396
Southeast,SP,2020-03-21,459
Southeast,SP,2020-03-22,631
Southeast,SP,2020-03-23,745
Southeast,SP,2020-03-24,810
Southeast,SP,2020-03-25,862
North,TO,2020-02-25,0
North,TO,2020-02-26,0
North,TO,2020-02-27,0
North,TO,2020-02-28,0
North,TO,2020-02-29,0
North,TO,2020-03-01,0
North,TO,2020-03-02,0
North,TO,2020-03-03,0
North,TO,2020-03-04,0
North,TO,2020-03-05,0
North,TO,2020-03-06,0
North,TO,2020-03-07,0
North,TO,2020-03-08,0
North,TO,2020-03-09,0
North,TO,2020-03-10,0
North,TO,2020-03-11,0
North,TO,2020-03-12,0
North,TO,2020-03-13,0
North,TO,2020-03-14,0
North,TO,2020-03-15,0
North,TO,2020-03-16,0
North,TO,2020-03-17,0
North,TO,2020-03-18,1
North,TO,2020-03-19,1
North,TO,2020-03-20,1
North,TO,2020-03-21,2
North,TO,2020-03-22,5
North,TO,2020-03-23,7
North,TO,2020-03-24,7
North,TO,2020-03-25,7
